Exact	Measured
24.5011	32.2429	
8.33063	9.62813	
19.2459	26.2803	
23.3512	24.561	
15.5236	15.3312	
4.69864	2.55344	
0	-3.55744	
0	-3.00043	
0	-4.44829	
30.4161	37.8263	
28.5782	10.2641	
40.0552	41.6864	
0	-7.8018	
25.1889	29.6325	
45.3342	42.2044	
50.9833	56.3389	
33.3452	21.7379	
36.2764	31.5919	
40.1993	36.5438	
20.9391	17.3782	
0	0.574729	
0	3.58596	
29.8681	27.287	
51.8847	49.7529	
45.6436	40.8395	
42.1817	39.7092	
7.73259	11.1636	
37.3971	41.4375	
40.9526	40.4978	
38.7223	44.5261	
50.8341	49.4837	
32.873	29.3068	
47.39	40.2464	
0	2.42737	
0	0.551121	
0	1.14561	
23.2407	28.3811	
40.1069	40.7363	
21.9035	11.2568	
16.7336	23.7657	
25.3903	28.8318	
0	-1.11275	
9.25929	1.3705	
42.6474	38.4218	
22.2344	13.7366	
31.5959	31.5905	
41.0114	51.7863	
51.6064	55.5072	
0	5.32862	
37.1293	22.7474	
45.0962	36.4853	
38.389	37.9558	
0	-2.39487	
45.3054	31.5876	
7.3578	14.6339	
0	1.06271	
48.9361	51.1697	
37.8907	42.5665	
47.6505	45.6993	
41.5289	51.2134	
0	1.01408	
34.3227	31.8923	
0	-1.64571	
22.8084	8.3746	
41.6576	48.5338	
38.6281	41.0972	
0	-0.607893	
0	-4.47133	
41.2255	50.2733	
47.8259	54.5834	
47.8682	42.3426	
22.74	22.4374	
39.4718	35.8309	
16.9006	19.4758	
37.6492	38.5365	
43.4278	42.4358	
47.5228	50.48	
13.1533	13.3683	
40.6908	40.2103	
27.9164	16.9296	
46.1882	57.646	
0	8.99105	
8.23941	3.79796	
0	0.718363	
0	-3.83594	
35.2253	22.1756	
37.9024	44.538	
33.0522	33.2304	
33.2478	34.6539	
30.9936	24.7992	
44.9396	48.7069	
0	5.20532	
38.0622	39.8927	
47.762	61.829	
19.8647	14.8971	
15.5048	20.9123	
43.5627	46.7246	
0	3.18541	
50.0996	47.1268	
0	1.43068	
0	1.09148	
48.2257	43.9944	
18.1332	20.9453	
0	1.67686	
0	2.59889	
11.8364	7.37675	
48.2815	50.7573	
10.0314	9.54563	
48.3768	51.142	
48.39	35.8925	
0	0.309095	
45.4793	45.497	
26.9613	23.9907	
31.205	31.5686	
51.4399	56.4509	
0	-3.59269	
37.8012	42.3384	
49.7457	40.9641	
40.8509	38.6609	
0	-1.56377	
30.9218	36.1109	
31.9027	24.4219	
15.1104	19.7273	
35.9433	37.4881	
34.6834	30.8752	
29.3483	26.1272	
0	2.75409	
0	2.23687	
48.1001	56.0693	
0	-1.71314	
0	0.251373	
31.1207	18.1334	
35.3351	24.9301	
0	0.670139	
18.0295	21.1612	
29.4642	32.2844	
0	1.9656	
12.3313	19.2436	
44.3852	54.2777	
36.8342	42.1027	
40.0403	40.0351	
37.5217	45.6327	
34.5883	40.0812	
47.207	39.9179	
35.61	31.3538	
21.6898	22.9749	
20.6739	11.5797	
0	1.47462	
8.36827	11.0144	
0	4.17475	
47.6652	41.2738	
0	-1.1559	
29.6915	30.6921	
45.6668	42.3599	
9.34436	17.7693	
26.0123	20.6927	
50.8694	49.5247	
51.1274	63.2991	
0	-1.51943	
0	0.803159	
25.1231	16.9889	
0	-1.99813	
29.0461	17.9196	
0	-5.58386	
39.5677	47.9113	
20.8763	16.1657	
40.0188	31.6631	
0	1.72836	
28.7111	26.6172	
0	2.98339	
52.2761	44.5814	
49.1228	45.3998	
45.4677	37.1374	
0	-7.32087	
42.5105	40.5739	
25.6438	24.405	
46.3957	41.1245	
6.03986	10.0397	
0	2.32851	
0	-3.37785	
0	-3.48691	
45.5819	54.1718	
30.0828	23.2381	
36.2821	44.2639	
23.4292	18.3047	
0	-6.2189	
7.37386	8.88875	
51.2565	54.7807	
33.5205	40.8916	
10.6451	5.18086	
0	3.36659	
36.4745	22.2058	
32.7243	31.4547	
0	-1.89765	
46.6045	38.2637	
0	-2.05399	
44.7893	37.1871	
0	2.81507	
27.1851	23.4011	
0	-10.6195	
14.6219	9.07586	
42.9036	37.3685	
0	-1.4581	
24.6905	26.6133	
